n	question	command	r2cmd	explanation
12	How do I list the global variables that have been defined?	list defined global variables	The `avg` command will list all the global variables that have been defined or identified in the binary.	avg
13	Can I see a list of all the global variables in my binary?	see list of global variables	By using the `avg` command, you can see a list of all global variables in the binary.	avg
14	What is the command to add a global variable named index of type unsigned int?	add global variable unsigned int index	Use `avg` followed by the type `unsigned int` and the name `index` to add a global variable.	avg unsigned int index
15	How can I define a global variable called status with type bool?	define global variable bool status	Use the `avg` command with the type `bool` and the name `status` to define a global variable.	avg bool status
16	What command do I use to delete all global variables?	delete all global variables	The `avg-` command is used to delete all global variables from the list.	avg-
17	Is there a way to add a global variable named data of type struct?	add global variable struct data	To add a global variable of type `struct`, use `avg` followed by `struct` and the name `data`.	avg struct data
18	How do I create a global variable of type long named timestamp?	create global variable long timestamp	Use the `avg` command with the type `long` and the name `timestamp` to create a global variable.	avg long timestamp
19	What command should I use to add a global variable named errorCode of type short?	add global variable short errorCode	Use `avg` followed by the type `short` and the name `errorCode` to add a global variable.	avg short errorCode
20	Can I define a global variable called limit with type unsigned char?	define global variable unsigned char limit	To define a global variable, use `avg` with the type `unsigned char` and the name `limit`.	avg unsigned char limit
21	How do I list the global variables currently in use?	list current global variables	The `avg` command will list all global variables currently in use in the binary.	avg
22	What is the command to clear all global variables?	clear all global variables	To clear all global variables, use the `avg-` command.	avg-
